GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TelerikTestingFramework,testframework.core,BaseWebPage,8,24,0,0,2,8,1,5,1,5
TelerikTestingFramework,testframework.core,BaseWebTest,6,5,0,0,3,2,2,2,2,2
TelerikTestingFramework,weare.pages,BaseWEarePage,0,8,0,0,0,3,0,2,0,2
TelerikTestingFramework,weare.pages,HomePage,36,78,0,0,8,20,4,7,4,7
TelerikTestingFramework,weare.pages,AboutUsPage,0,4,0,0,0,2,0,1,0,1
TelerikTestingFramework,weare.pages,SignInPage,0,53,0,0,0,9,0,2,0,2
TelerikTestingFramework,weare.pages,UserHomePage,9,74,0,0,2,20,1,8,1,8
TelerikTestingFramework,weare.pages,RegisterPage,0,95,0,0,0,15,0,4,0,4
TelerikTestingFramework,weare.pages,UserProfilePage,9,152,0,0,2,23,1,3,1,3
TelerikTestingFramework,weare.pages,LatestPostsPage,0,487,1,3,0,102,1,26,0,25
TelerikTestingFramework,weare.pages,SearchPage,2,62,0,0,1,18,1,8,1,8
TelerikTestingFramework,testframework,DriverManager,96,85,10,8,20,28,9,7,1,5
TelerikTestingFramework,testframework,Driver,49,108,2,2,13,29,9,11,7,11
TelerikTestingFramework,testframework,PropertiesManager,7,22,0,0,3,6,1,3,1,3
TelerikTestingFramework,testframework.enums,BrowserType,0,21,0,0,0,4,0,1,0,1
TelerikTestingFramework,testframework.enums,BrowserMode,0,15,0,0,0,3,0,1,0,1
TelerikTestingFramework,testframework.enums,FrameworkSettings,0,35,0,0,0,8,0,3,0,3
